D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-16.dwg,Modelo,25/07/2022 20:04:24,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-17.dwg,Modelo,25/07/2022 20:05:03,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-03.dwg,Modelo,02/08/2022 15:37:29,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0184422,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-04.dwg,Modelo,02/08/2022 15:39:34,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186964,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-05.dwg,Modelo,02/08/2022 15:41:48,ITO,Kyocera ECOSYS P2040dw,A4,1:0.018312,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-06.dwg,Modelo,02/08/2022 15:43:54,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0183893,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-07.dwg,Modelo,02/08/2022 15:45:30,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-08.dwg,Modelo,02/08/2022 15:48:59,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-13.dwg,Modelo,02/08/2022 16:03:38,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-14.dwg,Modelo,02/08/2022 16:05:23,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-15.dwg,Modelo,02/08/2022 16:08:43,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-16 - S.dwg,Modelo,02/08/2022 16:11:49,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-16.dwg,Modelo,02/08/2022 16:13:41,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-18.dwg,Modelo,02/08/2022 16:19:01,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla docente D-12.dwg,Modelo,02/08/2022 16:21:12,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217154,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-09.dwg,Modelo,04/08/2022 10:37:11,ITO,Kyocera ECOSYS P2040dw,A4,1:0.015029,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-03.dwg,Modelo,11/08/2022 15:42:47,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0184422,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-04.dwg,Modelo,11/08/2022 15:43:50,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186964,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-05.dwg,Modelo,11/08/2022 15:44:10,ITO,Kyocera ECOSYS P2040dw,A4,1:0.018312,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-06.dwg,Modelo,11/08/2022 15:44:32,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0183893,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-07.dwg,Modelo,11/08/2022 15:45:07,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-08.dwg,Modelo,11/08/2022 15:45:26,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-13.dwg,Modelo,11/08/2022 15:46:37,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-14.dwg,Modelo,11/08/2022 15:46:53,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-15.dwg,Modelo,11/08/2022 15:47:09,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-16 - S.dwg,Modelo,11/08/2022 15:47:43,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-17 - s.dwg,Modelo,11/08/2022 15:48:04,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-18.dwg,Modelo,11/08/2022 15:48:26,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-09.dwg,Modelo,11/08/2022 15:50:15,ITO,Kyocera ECOSYS P2040dw,A4,1:0.015029,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-09.dwg,Modelo,11/08/2022 16:22:18,ITO,Kyocera ECOSYS P2040dw,A4,1:0.015029,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-11.dwg,Modelo,11/08/2022 18:47:58,ITO,Kyocera ECOSYS P2040dw,A4,1:0.015029,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-03.dwg,Modelo,11/08/2022 18:48:42,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0184422,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-04.dwg,Modelo,11/08/2022 18:48:52,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186964,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-05.dwg,Modelo,11/08/2022 18:49:05,ITO,Kyocera ECOSYS P2040dw,A4,1:0.018312,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-06.dwg,Modelo,11/08/2022 18:49:18,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0183893,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-07.dwg,Modelo,11/08/2022 18:49:29,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-08.dwg,Modelo,11/08/2022 18:49:39,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla docente D-12.dwg,Modelo,11/08/2022 18:49:58,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217154,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-13.dwg,Modelo,11/08/2022 18:50:41,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-14.dwg,Modelo,11/08/2022 18:50:53,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-15.dwg,Modelo,11/08/2022 18:51:57,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-16 - S.dwg,Modelo,11/08/2022 18:52:11,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-17 - s.dwg,Modelo,11/08/2022 18:52:21,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-18.dwg,Modelo,11/08/2022 18:52:30,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-11.dwg,Modelo,11/08/2022 18:59:06,ITO,Kyocera ECOSYS P2040dw,A4,1:0.015029,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-03.dwg,Modelo,11/08/2022 18:59:26,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0184422,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-04.dwg,Modelo,11/08/2022 18:59:47,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186964,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-05.dwg,Modelo,11/08/2022 19:00:04,ITO,Kyocera ECOSYS P2040dw,A4,1:0.018312,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-06.dwg,Modelo,11/08/2022 19:00:20,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0183893,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-07.dwg,Modelo,11/08/2022 19:00:38,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-08.dwg,Modelo,11/08/2022 19:00:57,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0186565,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla docente D-12.dwg,Modelo,11/08/2022 19:01:19,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217154,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-13.dwg,Modelo,11/08/2022 19:01:49,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-14.dwg,Modelo,11/08/2022 19:02:51,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217201,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-15.dwg,Modelo,11/08/2022 19:03:31,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-16 - S.dwg,Modelo,11/08/2022 19:03:54,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-17 - s.dwg,Modelo,11/08/2022 19:04:15,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-18.dwg,Modelo,11/08/2022 19:04:33,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217131,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-11.dwg,Modelo,12/08/2022 12:03:23,ITO,Kyocera ECOSYS P2040dw,A4,1:0.015029,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-11.dwg,Modelo,12/08/2022 12:26:15,ITO,Kyocera ECOSYS P2040dw,A4,1:0.015029,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-11.dwg,Modelo,12/08/2022 13:40:10,ITO,Kyocera ECOSYS P2040dw,A4,1:0.015029,
